Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, bubbleSortDouble, -1, 2.283325195312500000, 2.063415527343750000,  ,  , 276, 52.0, 1680
C, bubbleSortDouble, -1, 2.504333496093750000, 2.213806152343750000,  ,  , 305, 52.0, 1660
C, bubbleSortDouble, -1, 2.399169921875000000, 2.193359375000000000,  ,  , 280, 52.0, 1664
C, bubbleSortDouble, -1, 2.358276367187500000, 1.987609863281250000,  ,  , 332, 52.0, 1736
C, bubbleSortDouble, -1, 2.465881347656250000, 2.095214843750000000,  ,  , 324, 52.8, 1712
C, bubbleSortDouble, -1, 2.468017578125000000, 2.224975585937500000,  ,  , 272, 52.8, 1748
C, bubbleSortDouble, -1, 2.278320312500000000, 2.058837890625000000,  ,  , 277, 52.8, 1748
C, bubbleSortDouble, -1, 2.424377441406250000, 2.194091796875000000,  ,  , 272, 52.8, 1660
C, bubbleSortDouble, -1, 2.458679199218750000, 2.229858398437500000,  ,  , 269, 56.0, 1604
C, bubbleSortDouble, -1, 2.443176269531250000, 2.270263671875000000,  ,  , 260, 39.8, 1744
