Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, bubbleSortString, -1, 465.808959960937500000, 443.821533203125000000,  ,  , 33815, 76.0, 12984
C, bubbleSortString, -1, 392.932556152343750000, 368.579895019531250000,  ,  , 37530, 75.5, 13084
C, bubbleSortString, -1, 443.813659667968750000, 421.359558105468750000,  ,  , 34640, 77.8, 13084
C, bubbleSortString, -1, 416.520141601562500000, 393.207092285156250000,  ,  , 35642, 76.8, 13048
C, bubbleSortString, -1, 437.888977050781250000, 415.205749511718750000,  ,  , 35020, 77.8, 12980
C, bubbleSortString, -1, 413.542785644531250000, 390.082763671875000000,  ,  , 35894, 77.0, 13032
C, bubbleSortString, -1, 435.968383789062500000, 413.039611816406250000,  ,  , 35257, 78.5, 13080
C, bubbleSortString, -1, 432.073242187500000000, 409.414306640625000000,  ,  , 35141, 78.2, 13008
C, bubbleSortString, -1, 410.303527832031250000, 386.785583496093750000,  ,  , 35962, 77.5, 13084
C, bubbleSortString, -1, 424.083557128906250000, 400.723205566406250000,  ,  , 35933, 76.5, 12984
