Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, bubbleSortFloat, -1, 183.231323242187500000, 166.895812988281250000,  ,  , 18430, 68.0, 1756
C, bubbleSortFloat, -1, 176.356872558593750000, 162.187133789062500000,  ,  , 17355, 69.2, 1724
C, bubbleSortFloat, -1, 175.204467773437500000, 160.891174316406250000,  ,  , 17498, 71.2, 1692
C, bubbleSortFloat, -1, 184.315002441406250000, 169.121582031250000000,  ,  , 18267, 70.5, 1692
C, bubbleSortFloat, -1, 174.634094238281250000, 159.965881347656250000,  ,  , 18062, 74.8, 1724
C, bubbleSortFloat, -1, 175.022399902343750000, 160.798400878906250000,  ,  , 17395, 71.0, 1724
C, bubbleSortFloat, -1, 182.752319335937500000, 167.711120605468750000,  ,  , 18156, 64.5, 1724
C, bubbleSortFloat, -1, 175.565002441406250000, 161.284606933593750000,  ,  , 17530, 71.0, 1704
C, bubbleSortFloat, -1, 182.198852539062500000, 167.151428222656250000,  ,  , 18237, 70.2, 1720
C, bubbleSortFloat, -1, 173.782348632812500000, 159.544494628906250000,  ,  , 17425, 70.8, 1756
