Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, bubbleSortInt, -1, 13099.503906250000000000, 11889.785766601562500000,  ,  , 1.43739E+06, 77.5, 5424
C, bubbleSortInt, -1, 13014.957092285156250000, 11863.585693359375000000,  ,  , 1.40973E+06, 74.8, 5412
C, bubbleSortInt, -1, 13081.536499023437500000, 11928.975036621093750000,  ,  , 1.40707E+06, 76.5, 5360
C, bubbleSortInt, -1, 13147.539123535156250000, 12013.453796386718750000,  ,  , 1.39426E+06, 75.8, 5416
C, bubbleSortInt, -1, 13151.837768554687500000, 12020.508300781250000000,  ,  , 1.3911E+06, 74.8, 5424
C, bubbleSortInt, -1, 12619.434509277343750000, 11461.252868652343750000,  ,  , 1.4245E+06, 70.8, 5416
C, bubbleSortInt, -1, 12739.873657226562500000, 11568.724609375000000000,  ,  , 1.43856E+06, 76.8, 5420
C, bubbleSortInt, -1, 13119.665527343750000000, 11983.147827148437500000,  ,  , 1.39697E+06, 76.2, 5412
C, bubbleSortInt, -1, 13171.853637695312500000, 12038.036743164062500000,  ,  , 1.39335E+06, 76.0, 5392
C, bubbleSortInt, -1, 13155.215942382812500000, 12018.458129882812500000,  ,  , 1.39387E+06, 75.5, 5420
