Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, bubbleSortInt, -1, 3991.057312011718750000, 3746.817993164062500000,  ,  , 414902, 77.0, 5368
C, bubbleSortInt, -1, 4230.308471679687500000, 3994.482299804687500000,  ,  , 397357, 78.0, 5384
C, bubbleSortInt, -1, 4253.964233398437500000, 4019.476135253906250000,  ,  , 396696, 78.5, 5424
C, bubbleSortInt, -1, 4378.357360839843750000, 4147.168457031250000000,  ,  , 389534, 79.0, 5524
C, bubbleSortInt, -1, 4378.663391113281250000, 4149.492065429687500000,  ,  , 389709, 78.8, 5412
C, bubbleSortInt, -1, 3978.365234375000000000, 3731.210327148437500000,  ,  , 417900, 77.8, 5432
C, bubbleSortInt, -1, 4255.049499511718750000, 4019.600158691406250000,  ,  , 397228, 79.2, 5384
C, bubbleSortInt, -1, 4414.214599609375000000, 4184.404907226562500000,  ,  , 389688, 79.8, 5448
C, bubbleSortInt, -1, 4277.063720703125000000, 4044.836914062500000000,  ,  , 393929, 77.5, 5388
C, bubbleSortInt, -1, 4414.397888183593750000, 4181.780517578125000000,  ,  , 392666, 84.0, 5368
