Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, factorial, -1, 0.042785644531250000, 0.041931152343750000,  ,  , 2, 47.2, 1644
C, factorial, -1, 0.058898925781250000, 0.051391601562500000,  ,  , 2, 47.2, 1640
C, factorial, -1, 0.043151855468750000, 0.034667968750000000,  ,  , 2, 47.2, 1724
C, factorial, -1, 0.048278808593750000, 0.039245605468750000,  ,  , 2, 47.2, 1588
C, factorial, -1, 0.031799316406250000, 0.026123046875000000,  ,  , 2, 47.2, 1648
C, factorial, -1, 0.035095214843750000, 0.032287597656250000,  ,  , 3, 47.2, 1588
C, factorial, -1, 0.018005371093750000, 0.017395019531250000,  ,  , 3, 47.2, 1624
C, factorial, -1, 0.031188964843750000, 0.026184082031250000,  ,  , 3, 47.2, 1640
C, factorial, -1, 0.016479492187500000, 0.014648437500000000,  ,  , 4, 47.2, 1604
C, factorial, -1, 0.021484375000000000, 0.014526367187500000,  ,  , 4, 47.2, 1560
