Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibR, -1, 618.375549316406250000, 584.035644531250000000,  ,  , 58628, 79.2, 1560
C, fibR, -1, 621.745300292968750000, 587.612792968750000000,  ,  , 58306, 79.5, 1560
C, fibR, -1, 550.844604492187500000, 513.729614257812500000,  ,  , 63357, 78.0, 1588
C, fibR, -1, 606.101196289062500000, 571.502563476562500000,  ,  , 59082, 78.8, 1560
C, fibR, -1, 596.461242675781250000, 561.423278808593750000,  ,  , 59526, 78.2, 1584
C, fibR, -1, 555.275390625000000000, 518.245544433593750000,  ,  , 63186, 77.0, 1644
C, fibR, -1, 620.571411132812500000, 586.338867187500000000,  ,  , 58458, 78.8, 1504
C, fibR, -1, 616.771972656250000000, 582.589599609375000000,  ,  , 58387, 78.8, 1640
C, fibR, -1, 626.325683593750000000, 586.158203125000000000,  ,  , 61289, 78.2, 1580
C, fibR, -1, 557.719177246093750000, 519.009643554687500000,  ,  , 63886, 78.0, 1652
