Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, mergeSortDouble, -1, 0.106994628906250000, 0.076110839843750000,  ,  , 27, 44.8, 1820
C, mergeSortDouble, -1, 0.122253417968750000, 0.087829589843750000,  ,  , 30, 44.8, 1820
C, mergeSortDouble, -1, 0.104858398437500000, 0.083007812500000000,  ,  , 26, 44.8, 1784
C, mergeSortDouble, -1, 0.144470214843750000, 0.122619628906250000,  ,  , 17, 53.0, 1784
C, mergeSortDouble, -1, 0.194213867187500000, 0.173461914062500000,  ,  , 17, 53.0, 1888
C, mergeSortDouble, -1, 0.144714355468750000, 0.129333496093750000,  ,  , 17, 53.0, 1788
C, mergeSortDouble, -1, 0.201110839843750000, 0.177062988281250000,  ,  , 17, 53.0, 1768
C, mergeSortDouble, -1, 0.162658691406250000, 0.143432617187500000,  ,  , 17, 53.0, 1784
C, mergeSortDouble, -1, 0.173706054687500000, 0.146911621093750000,  ,  , 17, 53.0, 1672
C, mergeSortDouble, -1, 0.166320800781250000, 0.149780273437500000,  ,  , 18, 53.0, 1784
