Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, mergeSortFloat, -1, 2.237976074218750000, 2.107055664062500000,  ,  , 132, 47.0, 2344
C, mergeSortFloat, -1, 1.845031738281250000, 1.699768066406250000,  ,  , 112, 47.0, 2424
C, mergeSortFloat, -1, 1.465576171875000000, 1.372558593750000000,  ,  , 101, 47.0, 2424
C, mergeSortFloat, -1, 1.632080078125000000, 1.554931640625000000,  ,  , 92, 47.0, 2344
C, mergeSortFloat, -1, 1.636352539062500000, 1.547790527343750000,  ,  , 94, 71.8, 2396
C, mergeSortFloat, -1, 1.259765625000000000, 1.178771972656250000,  ,  , 124, 43.0, 2412
C, mergeSortFloat, -1, 1.637451171875000000, 1.544128417968750000,  ,  , 95, 43.0, 2344
C, mergeSortFloat, -1, 1.640930175781250000, 1.565979003906250000,  ,  , 92, 43.0, 2436
C, mergeSortFloat, -1, 1.549621582031250000, 1.482482910156250000,  ,  , 94, 43.0, 2444
C, mergeSortFloat, -1, 1.651123046875000000, 1.576416015625000000,  ,  , 94, 43.0, 2444
