Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, mergeSortInt, -1, 2.755676269531250000, 2.624084472656250000,  ,  , 195, 50.8, 9196
C, mergeSortInt, -1, 2.768737792968750000, 2.639648437500000000,  ,  , 161, 50.8, 9260
C, mergeSortInt, -1, 2.707519531250000000, 2.594543457031250000,  ,  , 161, 50.8, 9264
C, mergeSortInt, -1, 3.507751464843750000, 3.309204101562500000,  ,  , 195, 50.8, 9284
C, mergeSortInt, -1, 2.925903320312500000, 2.797729492187500000,  ,  , 168, 50.8, 9264
C, mergeSortInt, -1, 2.903137207031250000, 2.756652832031250000,  ,  , 171, 69.8, 9236
C, mergeSortInt, -1, 2.457580566406250000, 2.336730957031250000,  ,  , 172, 41.2, 9264
C, mergeSortInt, -1, 2.791137695312500000, 2.680297851562500000,  ,  , 157, 41.2, 9256
C, mergeSortInt, -1, 2.521301269531250000, 2.410156250000000000,  ,  , 170, 41.2, 9200
C, mergeSortInt, -1, 2.439819335937500000, 2.318176269531250000,  ,  , 181, 41.2, 9288
