Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, mergeSortString, -1, 9.895568847656250000, 9.243652343750000000,  ,  , 628, 50.2, 40612
C, mergeSortString, -1, 8.659667968750000000, 8.148864746093750000,  ,  , 597, 73.5, 40644
C, mergeSortString, -1, 8.196289062500000000, 7.843322753906250000,  ,  , 549, 51.0, 40656
C, mergeSortString, -1, 8.007751464843750000, 7.635742187500000000,  ,  , 560, 73.8, 40680
C, mergeSortString, -1, 7.122863769531250000, 6.734375000000000000,  ,  , 608, 50.8, 40660
C, mergeSortString, -1, 8.063171386718750000, 7.695312500000000000,  ,  , 557, 73.8, 40608
C, mergeSortString, -1, 8.146118164062500000, 7.796752929687500000,  ,  , 556, 51.0, 40648
C, mergeSortString, -1, 6.953247070312500000, 6.543518066406250000,  ,  , 618, 73.5, 40636
C, mergeSortString, -1, 7.099975585937500000, 6.708862304687500000,  ,  , 607, 51.0, 40680
C, mergeSortString, -1, 6.889587402343750000, 6.471008300781250000,  ,  , 622, 73.8, 40612
