Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, radixSortDouble, -1, 0.140930175781250000, 0.128845214843750000,  ,  , 9, 40.0, 1788
C, radixSortDouble, -1, 0.148864746093750000, 0.142822265625000000,  ,  , 9, 40.0, 1852
C, radixSortDouble, -1, 0.138000488281250000, 0.125183105468750000,  ,  , 9, 40.0, 1644
C, radixSortDouble, -1, 0.145568847656250000, 0.131347656250000000,  ,  , 10, 40.0, 1740
C, radixSortDouble, -1, 0.110900878906250000, 0.104431152343750000,  ,  , 9, 40.0, 1860
C, radixSortDouble, -1, 0.122375488281250000, 0.116027832031250000,  ,  , 10, 40.0, 1856
C, radixSortDouble, -1, 0.130004882812500000, 0.120727539062500000,  ,  , 9, 40.0, 1720
C, radixSortDouble, -1, 0.118835449218750000, 0.112426757812500000,  ,  , 9, 40.0, 1772
C, radixSortDouble, -1, 0.130432128906250000, 0.120971679687500000,  ,  , 10, 40.0, 1756
C, radixSortDouble, -1, 0.140136718750000000, 0.137634277343750000,  ,  , 10, 40.0, 1756
