Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, radixSortFloat, -1, 7.608947753906250000, 7.100097656250000000,  ,  , 539, 44.2, 12984
C, radixSortFloat, -1, 7.785278320312500000, 7.473999023437500000,  ,  , 473, 70.8, 13088
C, radixSortFloat, -1, 7.300903320312500000, 7.001098632812500000,  ,  , 481, 43.8, 13120
C, radixSortFloat, -1, 6.644348144531250000, 6.330383300781250000,  ,  , 514, 70.0, 13052
C, radixSortFloat, -1, 7.475769042968750000, 7.202941894531250000,  ,  , 473, 44.0, 13016
C, radixSortFloat, -1, 7.718688964843750000, 7.406738281250000000,  ,  , 480, 44.0, 13012
C, radixSortFloat, -1, 7.401489257812500000, 7.077941894531250000,  ,  , 492, 70.5, 13004
C, radixSortFloat, -1, 7.249755859375000000, 6.947082519531250000,  ,  , 483, 44.8, 13016
C, radixSortFloat, -1, 7.295837402343750000, 6.999145507812500000,  ,  , 486, 44.8, 13084
C, radixSortFloat, -1, 7.698425292968750000, 7.384460449218750000,  ,  , 479, 71.2, 13080
