ficheiro;energia;tempo
o0_double_10000.csv;2.41;286.70
o0_double_100000.csv;307.78;33031.00
o0_float_10000.csv;2.37;303.70
o0_float_100000.csv;302.12;34210.50
o0_int_10000.csv;2.28;281.40
o0_int_100000.csv;288.35;31847.30
o0_string_10000.csv;3.11;344.60
o0_string_100000.csv;427.29;35483.40
o2_double_10000.csv;1.44;166.80
o2_double_100000.csv;177.46;17502.80
o2_float_10000.csv;1.39;151.80
o2_float_100000.csv;178.31;17835.50
o2_int_10000.csv;1.00;127.70
o2_int_100000.csv;129.93;14041.10
o2_int_1000000.csv;13030.14;1408680.00
o2_int_1000000_sorted.csv;4257.14;397960.90
o2_string_10000.csv;2.29;245.60
o2_string_100000.csv;266.93;28075.40
