ficheiro;energia;tempo
o0_double_10000.csv;0.15;20.30
o0_double_100000.csv;1.79;120.10
o0_double_1000000.csv;16.08;1152.60
o0_float_10000.csv;0.17;18.40
o0_float_100000.csv;1.71;106.30
o0_float_1000000.csv;15.36;1054.20
o0_int_10000.csv;0.04;17.90
o0_int_100000.csv;0.49;34.00
o0_int_1000000.csv;5.02;321.30
o0_string_10000.csv;0.12;10.20
o0_string_100000.csv;1.01;59.00
o0_string_1000000.csv;9.36;653.10
o2_double_10000.csv;0.16;16.50
o2_double_100000.csv;1.73;109.40
o2_double_1000000.csv;15.82;1091.60
o2_float_10000.csv;0.17;14.80
o2_float_100000.csv;1.66;103.00
o2_float_1000000.csv;14.26;979.60
o2_int_10000.csv;0.04;12.10
o2_int_100000.csv;0.38;26.60
o2_int_1000000.csv;3.89;241.90
o2_int_1000000_sorted.csv;2.78;173.10
o2_string_10000.csv;0.07;15.00
o2_string_100000.csv;0.88;54.40
o2_string_1000000.csv;7.90;590.20
