ficheiro;energia;tempo
o0_double_10000.csv;0.13;9.40
o0_double_100000.csv;1.17;73.00
o0_double_1000000.csv;12.23;750.10
o0_float_10000.csv;0.08;17.20
o0_float_100000.csv;0.89;51.30
o0_float_1000000.csv;7.42;490.00
o0_int_10000.csv;0.03;8.20
o0_int_100000.csv;0.21;22.90
o0_int_1000000.csv;2.26;151.30
o0_string_10000.csv;0.08;7.30
o0_string_100000.csv;0.71;45.00
o0_string_1000000.csv;11.88;3909.30
o2_double_10000.csv;0.09;12.10
o2_double_100000.csv;1.13;73.00
o2_double_1000000.csv;9.49;614.80
o2_float_10000.csv;0.07;10.90
o2_float_100000.csv;0.89;55.50
o2_float_1000000.csv;6.95;468.30
o2_int_10000.csv;0.03;8.60
o2_int_100000.csv;0.18;17.50
o2_int_1000000.csv;1.71;110.50
o2_int_1000000_sorted.csv;1.75;105.60
o2_string_10000.csv;0.05;6.60
o2_string_100000.csv;0.48;31.40
o2_string_1000000.csv;11.84;3729.80
